design,n_groups,coef_var,tests_per_group,n_tested_for_sensitivity,n_tested_for_specificity,prev,sensitivity,specificity,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
133,50,0.03952868137522828,200,60,300,0.05,0.95,0.85,0.75,high,38,0.06479436376321587,3
134,50,0.03952868137522828,200,60,300,0.05,0.95,0.85,0.75,low,38,0.06689394442644617,3
135,50,0.03952868137522828,200,60,300,0.05,0.95,0.85,0.75,uniform,38,0.06576970588908666,3
136,50,0.03952868137522828,200,60,300,0.05,0.95,0.9,0.75,high,38,0.06479436376321587,3
137,50,0.03952868137522828,200,60,300,0.05,0.95,0.9,0.75,low,38,0.06689394442644617,3
138,50,0.03952868137522828,200,60,300,0.05,0.95,0.9,0.75,uniform,38,0.06576970588908666,3
139,50,0.03952868137522828,200,60,300,0.05,0.95,0.95,0.75,high,38,0.06479436376321587,3
140,50,0.03952868137522828,200,60,300,0.05,0.95,0.95,0.75,low,38,0.06689394442644617,3
141,50,0.03952868137522828,200,60,300,0.05,0.95,0.95,0.75,uniform,38,0.06576970588908666,3
142,50,0.03952868137522828,200,60,300,0.05,0.95,1,0.75,high,38,0.06479436376321587,3
143,50,0.03952868137522828,200,60,300,0.05,0.95,1,0.75,low,38,0.06689394442644617,3
144,50,0.03952868137522828,200,60,300,0.05,0.95,1,0.75,uniform,38,0.06576970588908666,3
145,50,0.05360602843771107,200,60,300,0.005,0.95,0.75,0.75,high,38,0.006437789162432964,3
146,50,0.05360602843771107,200,60,300,0.005,0.95,0.75,0.75,low,38,0.00671879781565258,3
147,50,0.05360602843771107,200,60,300,0.005,0.95,0.75,0.75,uniform,38,0.006587332488241619,3
148,50,0.05360602843771107,200,60,300,0.005,0.95,0.8,0.75,high,38,0.006437789162432964,3
149,50,0.05360602843771107,200,60,300,0.005,0.95,0.8,0.75,low,38,0.00671879781565258,3
150,50,0.05360602843771107,200,60,300,0.005,0.95,0.8,0.75,uniform,38,0.006587332488241619,3
151,50,0.05360602843771107,200,60,300,0.005,0.95,0.85,0.75,high,38,0.006437789162432964,3
