design,method,lower_error_freq,upper_error_freq,coverage
186,WprevSeSp,0,0,1
186,WprevSeSp_gamma_result,0,0,1
187,WprevSeSp,0,0,1
187,WprevSeSp_gamma_result,0,0,1
188,WprevSeSp,0,0,1
188,WprevSeSp_gamma_result,0,0,1
189,WprevSeSp,0,0,1
189,WprevSeSp_gamma_result,0,0,1
190,WprevSeSp,0,0,1
190,WprevSeSp_gamma_result,0,0,1
191,WprevSeSp,0,0,1
191,WprevSeSp_gamma_result,0,0,1
192,WprevSeSp,0,0,1
192,WprevSeSp_gamma_result,0,0,1
193,WprevSeSp,0,0,1
193,WprevSeSp_gamma_result,0,0,1
194,WprevSeSp,0,0,1
194,WprevSeSp_gamma_result,0,0,1
195,WprevSeSp,0,0,1
195,WprevSeSp_gamma_result,0,0,1
196,WprevSeSp,0,0,1
196,WprevSeSp_gamma_result,0,0,1
197,WprevSeSp,0,0.0625,0.9375
197,WprevSeSp_gamma_result,0,0.0625,0.9375
198,WprevSeSp,0,0,1
198,WprevSeSp_gamma_result,0,0,1
199,WprevSeSp,0,0,1
199,WprevSeSp_gamma_result,0,0,1
200,WprevSeSp,0,0,1
200,WprevSeSp_gamma_result,0,0,1
201,WprevSeSp,0,0,1
201,WprevSeSp_gamma_result,0,0,1
202,WprevSeSp,0,0,1
202,WprevSeSp_gamma_result,0,0,1
203,WprevSeSp,0,0,1
203,WprevSeSp_gamma_result,0,0,1
204,WprevSeSp,0,0,1
204,WprevSeSp_gamma_result,0,0,1
205,WprevSeSp,0,0,1
205,WprevSeSp_gamma_result,0,0,1
206,WprevSeSp,0,0,1
206,WprevSeSp_gamma_result,0,0,1
207,WprevSeSp,0,0,1
207,WprevSeSp_gamma_result,0,0,1
208,WprevSeSp,0,0,1
208,WprevSeSp_gamma_result,0,0,1
209,WprevSeSp,0,0,1
209,WprevSeSp_gamma_result,0,0,1
210,WprevSeSp,0,0,1
210,WprevSeSp_gamma_result,0,0,1
211,WprevSeSp,0,0,1
211,WprevSeSp_gamma_result,0,0,1
212,WprevSeSp,0,0,1
212,WprevSeSp_gamma_result,0,0,1
213,WprevSeSp,0,0,1
213,WprevSeSp_gamma_result,0,0,1
214,WprevSeSp,0,0,1
214,WprevSeSp_gamma_result,0,0,1
215,WprevSeSp,0,0.1999,0.8001
215,WprevSeSp_gamma_result,0,0.1999,0.8001
216,WprevSeSp,0,0,1
216,WprevSeSp_gamma_result,0,0,1
217,WprevSeSp,0,0,1
217,WprevSeSp_gamma_result,0,0,1
218,WprevSeSp,0,0,1
218,WprevSeSp_gamma_result,0,0,1
219,WprevSeSp,0,0,1
219,WprevSeSp_gamma_result,0,0,1
220,WprevSeSp,0,0,1
220,WprevSeSp_gamma_result,0,0,1
221,WprevSeSp,0,0,1
221,WprevSeSp_gamma_result,0,0,1
222,WprevSeSp,0,0,1
222,WprevSeSp_gamma_result,0,0,1
223,WprevSeSp,0,0,1
223,WprevSeSp_gamma_result,0,0,1
224,WprevSeSp,0,0,1
224,WprevSeSp_gamma_result,0,0,1
225,WprevSeSp,0,0,1
225,WprevSeSp_gamma_result,0,0,1
226,WprevSeSp,0,0,1
226,WprevSeSp_gamma_result,0,0,1
227,WprevSeSp,0,0,1
227,WprevSeSp_gamma_result,0,0,1
228,WprevSeSp,0,0,1
228,WprevSeSp_gamma_result,0,0,1
229,WprevSeSp,0,0,1
229,WprevSeSp_gamma_result,0,0,1
