design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
343,50,0.26960400592129613,200,0.05,0.1,low,5,0.7911584252425994,9
344,50,0.26960400592129613,200,0.05,0.1,uniform,5,0.5103928240721032,9
345,50,0.26960400592129613,200,0.05,0.25,high,12,0.15248354896523889,9
346,50,0.26960400592129613,200,0.05,0.25,low,12,0.2991687942027359,9
347,50,0.26960400592129613,200,0.05,0.25,uniform,12,0.21169911662778887,9
348,50,0.26960400592129613,200,0.05,0.5,high,25,0.08300830319369747,9
349,50,0.26960400592129613,200,0.05,0.5,low,25,0.12573851904260694,9
350,50,0.26960400592129613,200,0.05,0.5,uniform,25,0.1011602546900364,9
351,50,0.26960400592129613,200,0.05,0.75,high,38,0.06003335914514993,9
352,50,0.26960400592129613,200,0.05,0.75,low,38,0.07439415911375168,9
353,50,0.26960400592129613,200,0.05,0.75,uniform,38,0.06611800355435121,9
354,50,0.2921446525309402,200,0.05,0.05,high,2,0.770545394251042,9
355,50,0.2921446525309402,200,0.05,0.1,high,5,0.32439721874766636,9
