design,method,lower_error_freq,upper_error_freq,coverage
93,wspoissonTest_midp,0.0116,0.0116,0.9768
94,AC,0.0161,0.0145,0.9694
94,CP,0.0141,0.0145,0.9714
94,wspoissonTest,0.0141,0.0145,0.9714
94,wspoissonTest_midp,0.0141,0.0145,0.9714
95,AC,0.0204,0.0138,0.9658
95,CP,0.0163,0.0144,0.9693
95,wspoissonTest,0.0167,0.0139,0.9694
95,wspoissonTest_midp,0.0183,0.0207,0.961
96,AC,0.0201,0.0129,0.967
96,CP,0.013,0.0146,0.9724
96,wspoissonTest,0.013,0.0128,0.9742
96,wspoissonTest_midp,0.0171,0.0196,0.9633
97,AC,0.0253,0.0198,0.9549
97,CP,0.0203,0.0198,0.9599
97,wspoissonTest,0.0203,0.0197,0.96
97,wspoissonTest_midp,0.0211,0.0223,0.9566
98,AC,0.0242,0.0189,0.9569
98,CP,0.0194,0.019,0.9616
98,wspoissonTest,0.0196,0.0189,0.9615
98,wspoissonTest_midp,0.0241,0.0238,0.9521
99,AC,0.0269,0.0159,0.9572
99,CP,0.0215,0.0171,0.9614
99,wspoissonTest,0.0215,0.0156,0.9629
99,wspoissonTest_midp,0.0237,0.019,0.9573
100,AC,0.027,0.0208,0.9522
100,CP,0.022,0.0213,0.9567
100,wspoissonTest,0.0221,0.019,0.9589
100,wspoissonTest_midp,0.0261,0.0217,0.9522
101,AC,0.0254,0.0194,0.9552
101,CP,0.0193,0.0196,0.9611
101,wspoissonTest,0.0194,0.0195,0.9611
101,wspoissonTest_midp,0.0247,0.0216,0.9537
102,AC,0.0267,0.0169,0.9564
102,CP,0.022,0.0185,0.9595
102,wspoissonTest,0.022,0.0161,0.9619
102,wspoissonTest_midp,0.0246,0.0201,0.9553
103,AC,0.025,0.0174,0.9576
103,CP,0.02,0.0188,0.9612
103,wspoissonTest,0.0201,0.0167,0.9632
103,wspoissonTest_midp,0.0239,0.0223,0.9538
104,AC,0.0281,0.0193,0.9526
104,CP,0.0209,0.0197,0.9594
104,wspoissonTest,0.0209,0.0195,0.9596
104,wspoissonTest_midp,0.0239,0.0227,0.9534
105,AC,0.028,0.0185,0.9535
105,CP,0.0233,0.0199,0.9568
105,wspoissonTest,0.0234,0.0183,0.9583
105,wspoissonTest_midp,0.0258,0.022,0.9522
106,AC,0.0268,0.0182,0.955
106,CP,0.0215,0.0199,0.9586
106,wspoissonTest,0.0218,0.017,0.9612
106,wspoissonTest_midp,0.0248,0.0222,0.953
107,AC,0.026,0.023,0.951
107,CP,0.0208,0.0243,0.9549
107,wspoissonTest,0.021,0.0229,0.9561
107,wspoissonTest_midp,0.0238,0.0269,0.9493
108,AC,0.0269,0.0204,0.9527
108,CP,0.0201,0.0219,0.958
108,wspoissonTest,0.0202,0.02,0.9598
108,wspoissonTest_midp,0.0239,0.0243,0.9518
109,AC,0.0096,0.0073,0.9831
109,CP,0.0064,0.0073,0.9863
109,wspoissonTest,0.0064,0.0073,0.9863
109,wspoissonTest_midp,0.0096,0.0104,0.98
110,AC,0.0153,0.0117,0.973
110,CP,0.0106,0.0117,0.9777
110,wspoissonTest,0.0106,0.0117,0.9777
110,wspoissonTest_midp,0.0153,0.0117,0.973
111,AC,0.0099,0.0101,0.98
111,CP,0.0099,0.0101,0.98
111,wspoissonTest,0.0099,0.0101,0.98
