design,n_groups,coef_var,tests_per_group,prev,prop_groups_with_prev,group_distribution,n_groups_with_prev,group_prev,partition
179,50,0.09898982037296081,200,0.005,0.75,low,38,0.006321818310583649,4
180,50,0.09898982037296081,200,0.005,0.75,uniform,38,0.0065807914786316195,4
181,50,0.10647195189051036,200,0.005,0.02,high,1,0.3263212556081938,4
182,50,0.10647195189051036,200,0.005,0.02,low,1,0.21296522217435315,4
183,50,0.10647195189051036,200,0.005,0.02,uniform,1,0.25139732112977875,4
184,50,0.10647195189051036,200,0.005,0.05,high,2,0.16232606922778672,4
185,50,0.10647195189051036,200,0.005,0.05,low,2,0.10667325519644798,4
186,50,0.10647195189051036,200,0.005,0.05,uniform,2,0.12460782973470873,4
187,50,0.10647195189051036,200,0.005,0.1,high,5,0.061235534091116484,4
188,50,0.10647195189051036,200,0.005,0.1,low,5,0.042848777593705305,4
189,50,0.10647195189051036,200,0.005,0.1,uniform,5,0.04985673809982639,4
190,50,0.10647195189051036,200,0.005,0.25,high,12,0.024134260734057857,4
191,50,0.10647195189051036,200,0.005,0.25,low,12,0.018305369250662683,4
192,50,0.10647195189051036,200,0.005,0.25,uniform,12,0.02075929778404154,4
193,50,0.10647195189051036,200,0.005,0.5,high,25,0.010961751897104986,4
194,50,0.10647195189051036,200,0.005,0.5,low,25,0.009193398254653963,4
195,50,0.10647195189051036,200,0.005,0.5,uniform,25,0.009981310025934702,4
196,50,0.10647195189051036,200,0.005,0.75,high,38,0.006878940714009486,4
197,50,0.10647195189051036,200,0.005,0.75,low,38,0.006306556879697028,4
198,50,0.10647195189051036,200,0.005,0.75,uniform,38,0.006565210076842535,4
199,50,0.1218680778839867,200,0.005,0.02,high,1,0.3356384943388149,4
200,50,0.1218680778839867,200,0.005,0.02,low,1,0.18890554297791692,4
201,50,0.1218680778839867,200,0.005,0.02,uniform,1,0.2518632282744753,4
202,50,0.1218680778839867,200,0.005,0.05,high,2,0.16446861215312236,4
203,50,0.1218680778839867,200,0.005,0.05,low,2,0.09545655826604085,4
204,50,0.1218680778839867,200,0.005,0.05,uniform,2,0.1258553666438935,4
205,50,0.1218680778839867,200,0.005,0.1,high,5,0.06200581145667105,4
206,50,0.1218680778839867,200,0.005,0.1,low,5,0.04019684945976622,4
207,50,0.1218680778839867,200,0.005,0.1,uniform,5,0.05033861585325448,4
208,50,0.1218680778839867,200,0.005,0.25,high,12,0.024481683326434366,4
209,50,0.1218680778839867,200,0.005,0.25,low,12,0.017944011833577432,4
210,50,0.1218680778839867,200,0.005,0.25,uniform,12,0.02084992977243751,4
211,50,0.1218680778839867,200,0.005,0.5,high,25,0.01103545530534502,4
212,50,0.1218680778839867,200,0.005,0.5,low,25,0.009142189567348783,4
213,50,0.1218680778839867,200,0.005,0.5,uniform,25,0.010023321017655013,5
214,50,0.1218680778839867,200,0.005,0.75,high,38,0.006931395020448662,5
215,50,0.1218680778839867,200,0.005,0.75,low,38,0.006283256666331186,5
216,50,0.1218680778839867,200,0.005,0.75,uniform,38,0.006586025363424934,5
217,50,0.1324660879358071,200,0.005,0.02,high,1,0.3468192356105046,5
218,50,0.1324660879358071,200,0.005,0.02,low,1,0.1906515716088906,5
219,50,0.1324660879358071,200,0.005,0.02,uniform,1,0.2525677082097815,5
220,50,0.1324660879358071,200,0.005,0.05,high,2,0.16812996686471607,5
221,50,0.1324660879358071,200,0.005,0.05,low,2,0.09810558449623559,5
222,50,0.1324660879358071,200,0.005,0.05,uniform,2,0.12651204691617776,5
223,50,0.1324660879358071,200,0.005,0.1,high,5,0.06444731258192583,5
224,50,0.1324660879358071,200,0.005,0.1,low,5,0.040308156561612726,5
225,50,0.1324660879358071,200,0.005,0.1,uniform,5,0.05023956084681628,5
226,50,0.1324660879358071,200,0.005,0.25,high,12,0.024925841337181384,5
227,50,0.1324660879358071,200,0.005,0.25,low,12,0.01765911306088378,5
228,50,0.1324660879358071,200,0.005,0.25,uniform,12,0.020827919389219667,5
229,50,0.1324660879358071,200,0.005,0.5,high,25,0.011160621468598017,5
230,50,0.1324660879358071,200,0.005,0.5,low,25,0.009058032152670027,5
231,50,0.1324660879358071,200,0.005,0.5,uniform,25,0.010002155813540473,5
232,50,0.1324660879358071,200,0.005,0.75,high,38,0.006974861894333587,5
233,50,0.1324660879358071,200,0.005,0.75,low,38,0.006254652166347942,5
234,50,0.1324660879358071,200,0.005,0.75,uniform,38,0.006582132290579172,5
235,50,0.12869713767887206,200,0.005,0.02,high,1,0.34168579526548626,5
236,50,0.12869713767887206,200,0.005,0.02,low,1,0.18624041516700843,5
237,50,0.12869713767887206,200,0.005,0.02,uniform,1,0.24941428319433548,5
238,50,0.12869713767887206,200,0.005,0.05,high,2,0.16551580351980266,5
239,50,0.12869713767887206,200,0.005,0.05,low,2,0.09649299812663661,5
240,50,0.12869713767887206,200,0.005,0.05,uniform,2,0.12629880366597326,5
241,50,0.12869713767887206,200,0.005,0.1,high,5,0.062211184427814356,5
242,50,0.12869713767887206,200,0.005,0.1,low,5,0.040588952542588194,5
243,50,0.12869713767887206,200,0.005,0.1,uniform,5,0.050008773966321224,5
244,50,0.12869713767887206,200,0.005,0.25,high,12,0.024715873142863633,5
245,50,0.12869713767887206,200,0.005,0.25,low,12,0.017766556455750565,5
246,50,0.12869713767887206,200,0.005,0.25,uniform,12,0.02083506659485756,5
247,50,0.12869713767887206,200,0.005,0.5,high,25,0.011145570978036626,5
248,50,0.12869713767887206,200,0.005,0.5,low,25,0.009067970264983734,5
249,50,0.12869713767887206,200,0.005,0.5,uniform,25,0.010014893086157566,5
250,50,0.12869713767887206,200,0.005,0.75,high,38,0.006958241448009185,5
251,50,0.12869713767887206,200,0.005,0.75,low,38,0.006268013839348981,5
252,50,0.12869713767887206,200,0.005,0.75,uniform,38,0.006584601159329213,5
