design,method,lower_error_freq,upper_error_freq,coverage
92,CP,0.0173,0.0195,0.9632
92,wspoissonTest,0.0174,0.0189,0.9637
92,wspoissonTest_midp,0.0188,0.02,0.9612
93,AC,0.0207,0.0209,0.9584
93,CP,0.0195,0.0208,0.9597
93,wspoissonTest,0.0196,0.0204,0.96
93,wspoissonTest_midp,0.0203,0.0213,0.9584
94,AC,0.0228,0.0182,0.959
94,CP,0.02,0.0181,0.9619
94,wspoissonTest,0.0205,0.0178,0.9617
94,wspoissonTest_midp,0.0219,0.0197,0.9584
95,AC,0.0205,0.0186,0.9609
95,CP,0.0186,0.0186,0.9628
95,wspoissonTest,0.0187,0.0178,0.9635
95,wspoissonTest_midp,0.0199,0.0191,0.961
96,AC,0.0263,0.0209,0.9528
96,CP,0.024,0.0208,0.9552
96,wspoissonTest,0.0241,0.0203,0.9556
96,wspoissonTest_midp,0.0258,0.0214,0.9528
97,AC,0.0035,0.004,0.9925
97,CP,0.0031,0.004,0.9929
97,wspoissonTest,0.0032,0.0038,0.993
97,wspoissonTest_midp,0.0033,0.0042,0.9925
98,AC,9e-4,0.0016,0.9975
98,CP,8e-4,0.0016,0.9976
98,wspoissonTest,8e-4,0.0013,0.9979
98,wspoissonTest_midp,9e-4,0.0017,0.9974
99,AC,0.004,0.0023,0.9937
99,CP,0.0032,0.0023,0.9945
99,wspoissonTest,0.0032,0.0022,0.9946
99,wspoissonTest_midp,0.0039,0.0025,0.9936
100,AC,0.0147,0.0124,0.9729
100,CP,0.0132,0.0124,0.9744
100,wspoissonTest,0.0133,0.0123,0.9744
100,wspoissonTest_midp,0.0143,0.0136,0.9721
101,AC,0.0141,0.0154,0.9705
101,CP,0.0127,0.0154,0.9719
101,wspoissonTest,0.0128,0.015,0.9722
101,wspoissonTest_midp,0.0139,0.0162,0.9699
102,AC,0.0156,0.0125,0.9719
102,CP,0.0137,0.0125,0.9738
102,wspoissonTest,0.0139,0.0119,0.9742
102,wspoissonTest_midp,0.0151,0.0129,0.972
103,AC,0.0216,0.0178,0.9606
103,CP,0.0203,0.0178,0.9619
103,wspoissonTest,0.0206,0.0175,0.9619
103,wspoissonTest_midp,0.0213,0.0186,0.9601
104,AC,0.0211,0.0201,0.9588
104,CP,0.0192,0.0201,0.9607
104,wspoissonTest,0.0196,0.019,0.9614
104,wspoissonTest_midp,0.0205,0.0212,0.9583
105,AC,0.0209,0.0178,0.9613
105,CP,0.0187,0.0177,0.9636
105,wspoissonTest,0.0188,0.0171,0.9641
105,wspoissonTest_midp,0.0201,0.0182,0.9617
106,AC,0.0243,0.0201,0.9556
106,CP,0.0225,0.0198,0.9577
106,wspoissonTest,0.0229,0.0193,0.9578
106,wspoissonTest_midp,0.0238,0.0208,0.9554
107,AC,0.0229,0.0197,0.9574
107,CP,0.021,0.0195,0.9595
107,wspoissonTest,0.0213,0.0187,0.96
107,wspoissonTest_midp,0.0223,0.0203,0.9574
108,AC,0.0203,0.0199,0.9598
108,CP,0.018,0.0199,0.9621
108,wspoissonTest,0.0184,0.0191,0.9625
108,wspoissonTest_midp,0.0193,0.0204,0.9603
109,AC,0.0046,0.004,0.9914
109,CP,0.0036,0.004,0.9924
109,wspoissonTest,0.0036,0.004,0.9924
109,wspoissonTest_midp,0.0043,0.0048,0.9909
110,AC,4e-4,0.001,0.9986
110,CP,3e-4,0.001,0.9987
110,wspoissonTest,3e-4,9e-4,0.9988
110,wspoissonTest_midp,4e-4,0.001,0.9986
111,AC,0.0034,0.0028,0.9938
111,CP,0.0027,0.0028,0.9945
111,wspoissonTest,0.0029,0.0025,0.9946
111,wspoissonTest_midp,0.0033,0.003,0.9937
112,AC,0.0132,0.0134,0.9734
112,CP,0.0121,0.0134,0.9745
112,wspoissonTest,0.0123,0.0133,0.9744
112,wspoissonTest_midp,0.0131,0.0143,0.9726
113,AC,0.013,0.0123,0.9747
113,CP,0.0116,0.0122,0.9762
113,wspoissonTest,0.012,0.0106,0.9774
113,wspoissonTest_midp,0.0129,0.0126,0.9745
114,AC,0.0145,0.0114,0.9741
114,CP,0.0133,0.0114,0.9753
114,wspoissonTest,0.0134,0.0112,0.9754
114,wspoissonTest_midp,0.0143,0.0122,0.9735
115,AC,0.0206,0.0203,0.9591
115,CP,0.0191,0.0203,0.9606
115,wspoissonTest,0.0193,0.0202,0.9605
115,wspoissonTest_midp,0.02,0.0207,0.9593
116,AC,0.0202,0.0169,0.9629
116,CP,0.0185,0.0169,0.9646
116,wspoissonTest,0.0189,0.0159,0.9652
116,wspoissonTest_midp,0.0199,0.0173,0.9628
117,AC,0.0202,0.0168,0.963
