design,method,conf_int_1,conf_int_2,width,lower_error_freq,upper_error_freq,coverage
20885,wspoissonTest_midp,0.0013822717607965731,0.03733115198162273,0.03594888022082616,0.0144,0,0.9856
20886,AC,0.0014849346629680481,0.013307716083384713,0.011822781420416664,0.0101,0.1056,0.8843
20886,CP,0.0014383505462943298,0.01276362546663432,0.01132527492033999,0.0051,0.1152,0.8797
20886,wspoissonTest,0.001443542846788006,0.04356652325009775,0.042122980403309744,0.0053,0,0.9947
20886,wspoissonTest_midp,0.0015886948941836912,0.037071488419576505,0.03548279352539281,0.0097,0,0.9903
20887,AC,0.0013444933123455667,0.013745110557244603,0.012400617244899036,0.0101,0.1223,0.8676
20887,CP,0.001341452184212623,0.013140703260704363,0.011799251076491738,0.0054,0.1354,0.8592
20887,wspoissonTest,0.0013469357778592168,0.04370125512902627,0.04235431935116705,0.0055,0,0.9945
20887,wspoissonTest_midp,0.0015016788390626765,0.03716296187562824,0.035661283036565565,0.0114,0,0.9886
20888,AC,0.001447572211683672,0.013444393021849351,0.01199682081016568,0.0129,0.1161,0.871
20888,CP,0.0014111350802672746,0.012883849606995791,0.011472714526728517,0.0074,0.1239,0.8687
20888,wspoissonTest,0.0014164924372438142,0.043619170860168616,0.0422026784229248,0.0075,0,0.9925
20888,wspoissonTest_midp,0.001566561142937016,0.03710756956096244,0.035541008418025426,0.0133,0,0.9867
20889,AC,0.0013826707895346591,0.013794667769060834,0.012411996979526175,0.0112,0.1224,0.8664
20889,CP,0.0013735348059252062,0.013195953217883334,0.011822418411958129,0.0072,0.1336,0.8592
20889,wspoissonTest,0.0013791031099558019,0.043751333916312155,0.042372230806356354,0.0075,0,0.9925
20889,wspoissonTest_midp,0.0015331327023853434,0.03722038019891353,0.03568724749652819,0.0129,0,0.9871
20890,AC,0.0014207440884275969,0.013610591102631577,0.012189847014203978,0.0119,0.1139,0.8742
20890,CP,0.0013960517945764523,0.013032044223743218,0.011635992429166766,0.0076,0.1231,0.8693
20890,wspoissonTest,0.001401434993056994,0.043663257458691956,0.042261822465634966,0.0076,0,0.9924
20890,wspoissonTest_midp,0.001552854466746313,0.03714706264951046,0.035594208182764146,0.0117,0,0.9883
20891,AC,0.001386310339904836,0.013699185324828257,0.012312874984923422,0.0102,0.1188,0.871
20891,CP,0.001373212063983753,0.013107328345932104,0.011734116281948351,0.0055,0.1285,0.866
20891,wspoissonTest,0.0013786612435169922,0.043701671020917036,0.04232300977740004,0.0059,0,0.9941
20891,wspoissonTest_midp,0.0015308612602728173,0.03717546632506101,0.03564460506478819,0.0108,0,0.9892
20892,AC,0.004550720070078954,0.005492981267876043,9.422611977970885e-4,0.0024,0.0026,0.995
20892,CP,0.0045406336233231115,0.005492760613125408,9.521269898022971e-4,0.0017,0.0026,0.9957
20892,wspoissonTest,0.004540738025519094,0.04243088640655853,0.037890148381039435,0.0017,0,0.9983
20892,wspoissonTest_midp,0.0030505330101529863,0.03629079140387968,0.0332402583937267,0,0,1
20893,AC,0.001419477230648407,0.013575255946301771,0.012155778715653364,0.0128,0.1244,0.8628
20893,CP,0.0013963670418488219,0.012998310745871964,0.011601943704023142,0.0075,0.1333,0.8592
20893,wspoissonTest,0.0014017908089480938,0.04366955666552337,0.042267765856575275,0.0079,0,0.9921
20893,wspoissonTest_midp,0.001552394311493586,0.03714762022868067,0.035595225917187084,0.0128,0,0.9872
20894,AC,0.02938465408320917,0.08228934136538435,0.05290468728217519,0.0152,0.0226,0.9622
20894,CP,0.02770559403935853,0.08189619600100051,0.05419060196164197,0.0084,0.0253,0.9663
20894,wspoissonTest,0.0279266345141455,0.09756782058652769,0.06964118607238218,0.0098,0,0.9902
20894,wspoissonTest_midp,0.02945063100663084,0.09136537998600149,0.06191474897937064,0.0159,6e-4,0.9835
20895,AC,0.03193365774537141,0.07735943973944313,0.045425781994071726,0.0185,0.0303,0.9512
20895,CP,0.03051475328229271,0.07712604483423903,0.046611291551946314,0.0114,0.0321,0.9565
20895,wspoissonTest,0.030694674641897315,0.09480867388548257,0.06411399924358525,0.0125,0,0.9875
20895,wspoissonTest_midp,0.03196752651156089,0.08885455623005999,0.0568870297184991,0.0197,2e-4,0.9801
20896,AC,0.03336499342457214,0.0743167728048674,0.040951779380295254,0.0166,0.037,0.9464
20896,CP,0.032120013007438906,0.07415436321804497,0.04203435021060606,0.0102,0.0381,0.9517
20896,wspoissonTest,0.03227482998054758,0.0930489462289514,0.06077411624840383,0.0108,0,0.9892
20896,wspoissonTest_midp,0.03335807919882058,0.08729011207963104,0.05393203288081046,0.018,0,0.982
20897,AC,0.03498853307769951,0.0705943398456244,0.03560580676792489,3e-4,0.0074,0.9923
20897,CP,0.03396106596859277,0.07049617320233767,0.0365351072337449,1e-4,0.0075,0.9924
20897,wspoissonTest,0.03408219935254552,0.09073817683980673,0.05665597748726121,1e-4,0,0.9999
20897,wspoissonTest_midp,0.03492844498817957,0.08522204429594314,0.05029359930776358,4e-4,0,0.9996
20898,AC,0.034138363128631825,0.07242353508230695,0.03828517195367512,0.0166,0.0421,0.9413
20898,CP,0.033000203417073215,0.07229521334457793,0.03929500992750471,0.0112,0.0426,0.9462
20898,wspoissonTest,0.03314004638595345,0.09192276536190688,0.058782718975953434,0.0119,0,0.9881
20898,wspoissonTest_midp,0.034093543965177595,0.08629533478018818,0.05220179081501058,0.0174,1e-4,0.9825
20899,AC,0.034708257694231456,0.07111181329271446,0.036403555598483,0.0079,0.0265,0.9656
20899,CP,0.033647100850115984,0.07100509012499587,0.037357989274879884,0.0046,0.0271,0.9683
20899,wspoissonTest,0.03377419805811592,0.09107993189691597,0.057305733838800055,0.0049,0,0.9951
20899,wspoissonTest_midp,0.03465258551544769,0.08552586963408973,0.05087328411864204,0.0086,0,0.9914
20900,AC,0.03421286752049923,0.07218037532597442,0.037967507805475184,0.0137,0.0431,0.9432
20900,CP,0.03308757471298567,0.07205526655790806,0.03896769184492239,0.0076,0.0446,0.9478
20900,wspoissonTest,0.03322549485394664,0.09176718568163127,0.058541690827684637,0.0082,0,0.9918
20900,wspoissonTest_midp,0.03416328710508655,0.08615493753748789,0.05199165043240134,0.0153,0,0.9847
20901,AC,0.03468758609129145,0.07165514053265148,0.03696755444136003,0.0128,0.0362,0.951
20901,CP,0.03360427265895661,0.07154382050780854,0.03793954784885194,0.0084,0.037,0.9546
20901,wspoissonTest,0.033735521415394834,0.09149190056974166,0.057756379154346824,0.0093,0,0.9907
20901,wspoissonTest_midp,0.03463607510533018,0.08591663640627856,0.05128056130094839,0.014,0,0.986
20902,AC,0.03419489067933883,0.07215038985199519,0.037955499172656365,0.0161,0.0412,0.9427
20902,CP,0.033070057695819305,0.07202500856348326,0.03895495086766396,0.0103,0.0416,0.9481
20902,wspoissonTest,0.03320780044249899,0.0917369062672998,0.0585291058248008,0.0111,0,0.9889
20902,wspoissonTest_midp,0.034145960024506136,0.08612390513735459,0.05197794511284846,0.017,0,0.983
20903,AC,0.03460869686734981,0.07176335502229847,0.03715465815494865,0.0144,0.0397,0.9459
20903,CP,0.033517583881956865,0.07164949491822532,0.03813191103626846,0.0103,0.0407,0.949
20903,wspoissonTest,0.033650301042120495,0.09156058082932592,0.05791027978720543,0.0109,0,0.9891
20903,wspoissonTest_midp,0.034556536015503236,0.08597925702118527,0.05142272100568203,0.0153,0,0.9847
20904,AC,2.3743560667865933e-4,0.019250756676683294,0.019013321070004634,0.0153,0.1539,0.8308
20904,CP,7.91471929142208e-4,0.017903012745862004,0.017111540816719794,0.0102,0.1539,0.8359
20904,wspoissonTest,7.984053851222216e-4,0.04793123915822058,0.04713283377309836,0.0106,0,0.9894
20904,wspoissonTest_midp,0.001008062175400339,0.04054100918689608,0.03953294701149574,0.0194,0,0.9806
20905,AC,0.0016535939109812079,0.012534247346683522,0.010880653435702315,0.0026,0.0652,0.9322
20905,CP,0.0015509358721388627,0.012080680181765191,0.010529744309626329,9e-4,0.0719,0.9272
20905,wspoissonTest,0.0015554921734106004,0.04652713988475679,0.044971647711346194,9e-4,0,0.9991
20905,wspoissonTest_midp,0.001671508409013889,0.039532880533366066,0.03786137212435218,0.0018,0,0.9982
20906,AC,7.287954016754101e-4,0.016515520437725452,0.015786725036050043,0.0132,0.0777,0.9091
20906,CP,9.91647239477771e-4,0.015534185538756856,0.014542538299279085,0.0085,0.0927,0.8988
20906,wspoissonTest,9.977878724924995e-4,0.04732434243414063,0.04632655456164813,0.0088,0,0.9912
20906,wspoissonTest_midp,0.0011923236340225785,0.040074756815268564,0.038882433181245984,0.0154,0,0.9846
20907,AC,0.0015368405395557048,0.013278690670666745,0.011741850131111042,0.0092,0.0949,0.8959
20907,CP,0.0014740167448848295,0.01275010285303349,0.01127608610814866,0.0053,0.1034,0.8913
20907,wspoissonTest,0.0014791472122285129,0.046757371333158874,0.04527822412093036,0.0056,0,0.9944
20907,wspoissonTest_midp,0.0016177292505474802,0.03971265869972246,0.038094929449174975,0.0089,0,0.9911
20908,AC,0.0010856950057247826,0.015062013297541801,0.013976318291817018,0.012,0.0948,0.8932
20908,CP,0.001183199152688146,0.014297309012343454,0.01311410985965531,0.0076,0.1097,0.8827
20908,wspoissonTest,0.0011890726670943615,0.04712470009606231,0.045935627428967944,0.0077,0,0.9923
20908,wspoissonTest_midp,0.0013660415183596617,0.039957004876431286,0.03859096335807163,0.0132,0,0.9868
20909,AC,0.0014468212553593973,0.013422476948256667,0.011975655692897269,0.0109,0.1123,0.8768
20909,CP,0.0014091920110336825,0.012862985078618352,0.011453793067584669,0.0057,0.1217,0.8726
20909,wspoissonTest,0.0014144231405216563,0.04678910832399394,0.045374685183472284,0.006,0,0.994
20909,wspoissonTest_midp,0.0015575398603778787,0.039709385170997195,0.03815184531061932,0.01,0,0.99
